City_Name,Total_Approved,Total_Denied,Total_Application
"MOUNTAIN VIEW, CA",10986,125,11111
"ROCKVILLE, MD",10636,363,10999
"SAN FRANCISCO, CA",8281,142,8423
"NEW YORK, NY",8192,128,8320
"RICHARDSON, TX",7843,86,7929
"CHICAGO, IL",7383,89,7472
"PHILADELPHIA, PA",6088,64,6152
"COLLEGE STATION, TX",5967,67,6034
"EDISON, NJ",4593,111,4704
"SUNNYVALE, CA",3958,117,4075